ID 2.0,ID 1.0,Mean,Condition,Time,Max,Velocity (bpm/s)
1,1,50.17386116568654,Silent,53.04,89.00796812749009,-0.6858353497556857
1,1,46.17914714243158,Static,96.12,86.47808764940234,-0.40731314656074
1,1,47.38319431450621,Dynamic,67.12,89.92828685258971,-0.676737902624357
2,2,94.08368787301335,Silent,49.25,118.46341463414635,-0.42500763178525397
2,2,95.76812823013105,Static,27.25,122.29268292682924,-1.035837000571841
2,2,90.81251756740492,Dynamic,28.0,116.51219512195125,-0.9759906062517769
3,3,71.31132251503492,Silent,60.0,106.09756097560972,-0.42238737207073795
3,3,71.66461427017867,Static,86.25,78.46341463414637,0.06604765774713162
3,3,77.44972729604848,Dynamic,42.5,109.82926829268297,-0.6451980809034474
4,4,102.60703763610019,Silent,130.25,118.99999999999997,-0.10353135777039181
4,4,108.30427724342576,Static,69.5,125.90243902439029,-0.21617950294900765
4,4,105.20847626392188,Dynamic,131.5,126.80487804878048,-0.12957113426662023
5,5,52.65026820173989,Silent,80.25,104.75609756097563,-0.4042001211937586
5,5,49.62611819399058,Static,78.75,111.04878048780489,-0.8075340133044512
5,5,48.28016827247045,Dynamic,84.75,107.97560975609755,-0.47488465779439565
6,6,87.67461161767984,Silent,17.25,105.2439024390244,-1.2843829366317052
6,6,88.37051362633149,Static,49.5,113.82926829268297,-0.5286505084616605
6,6,90.13736964525836,Dynamic,21.75,107.26829268292684,-0.885235874302317
7,7,85.70054252469491,Silent,134.0,132.39024390243904,-0.19665421043515438
7,7,84.70649633695928,Static,77.0,126.60975609756103,-0.44385217832317275
7,7,88.20078368100296,Dynamic,63.0,132.3170731707317,-0.587815041542021
8,8,73.19365973829412,Silent,93.5,126.75609756097562,-0.4279629217659614
8,8,79.00909826355678,Static,111.25,117.36585365853657,-0.3410471252079063
8,8,73.33854768117025,Dynamic,61.75,118.41463414634146,-0.7065424886785966
9,9,80.48109910644527,Silent,60.75,109.36585365853658,-0.44232909835759593
9,9,76.48080943446485,Static,50.0,114.90243902439022,-0.6611023812180673
9,9,73.27094460441484,Dynamic,55.0,114.26829268292684,-0.6268477537674289
10,10,101.28452764663943,Silent,51.0,116.58536585365854,-0.3222226148659634
10,10,100.72295331331541,Static,105.25,121.5853658536585,-0.19256695278200617
10,10,103.77579889938296,Dynamic,65.0,122.39024390243901,-0.2575649855717148
11,11,99.59526847557032,Silent,37.75,128.09756097560975,-0.78228396058795
11,11,100.00770729429,Static,81.25,129.7317073170732,-0.338037176439092
11,11,94.99999090901181,Dynamic,118.75,128.73170731707322,-0.2175469875313021
12,12,72.04172020264528,Silent,83.0,122.26829268292681,-0.46959917650875443
12,12,74.04137810750105,Static,50.75,124.36585365853661,-1.1101659826385062
12,12,78.74535603528591,Dynamic,38.5,118.73170731707316,-1.0411165052531266
13,13,74.3087792670217,Silent,55.5,104.97560975609758,-0.49426904419795115
13,13,79.48733394042858,Static,45.0,109.19512195121953,-0.7614388379446618
13,13,76.91223360711422,Dynamic,40.5,106.53658536585364,-0.8655781602843909
14,14,72.06948085218175,Silent,42.25,117.14634146341466,-0.7981985347176825
14,14,72.29152983320152,Static,55.0,123.41463414634148,-0.7367166745716693
14,14,74.57739125953479,Dynamic,42.75,127.2926829268293,-1.0864439133267423
